[2013-10-03 15:56] [truckingsaveDeliveryProgress]Edlman_Martin 80.99.33.225 Rendszeresen hordja az árút. (Keresett:49500, )
[2013-10-03 15:58] [truckingsaveDeliveryProgress]Ray_Jhonson 85.67.190.225 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 15:58] [truckingsaveDeliveryProgress]Milan_Fernandez 188.6.145.2 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 16:02] [truckingsaveDeliveryProgress]Milan_Fernandez 188.6.145.2 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 16:03] [truckingsaveDeliveryProgress]Milan_Fernandez 188.6.145.2 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 16:06] [truckingsaveDeliveryProgress]Milan_Fernandez 188.6.145.2 Rendszeresen hordja az árút. (Keresett:35500, )
[2013-10-03 16:10] [truckingsaveDeliveryProgress]Ray_Jhonson 85.67.190.225 Rendszeresen hordja az árút. (Keresett:14000, )
[2013-10-03 16:30] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 16:31] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 16:33] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:2000, )
[2013-10-03 16:38] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Rendszeresen hordja az árút. (Keresett:6000, )
[2013-10-03 16:39] [truckingsaveDeliveryProgress]Jeferson_Overy 145.236.129.134 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 16:46] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 16:48] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 16:50] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:3500, )
[2013-10-03 16:53] [truckingsaveDeliveryProgress]Norbert_Vas 91.147.241.145 Leadta a szállitmányt, (keresett:3500, )
